_r,AllWISE,RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph,query_idx,gaia_id,sep_arcsec
0.582,J162458.93-485652.5,246.2455477,-48.9479411,9.745,9.341,8.235,5.961,0.025,0.022,0.064,0.14,AAAB,143,Gaia DR3 5941455760690440448,0.6065821967971444
0.219,J164340.36-455757.8,250.91819,-45.9660779,8.561,8.105,7.505,6.396,0.027,0.021,0.039,0.175,AAAB,144,Gaia DR3 5943094788943803904,0.19988483986115263
0.808,J165902.18-454309.2,254.7590983,-45.7192352,4.489,3.692,3.45,3.357,0.186,0.174,0.012,0.024,BBAA,145,Gaia DR3 5964033098110548736,0.8219773487836647
0.269,J165458.48-410903.1,253.7436832,-41.1508828,4.611,4.18,3.955,3.174,0.171,0.127,0.015,0.018,BBAA,146,Gaia DR3 5966563486675142912,0.2386112575478551
0.484,J164801.33-424738.3,252.0055563,-42.7939913,9.056,8.653,8.14,6.958,0.023,0.02,0.062,,AAAU,147,Gaia DR3 5967906059105052800,0.45535108589511614
0.368,J171121.72-395321.7,257.8405094,-39.8893765,7.718,7.491,6.967,6.204,0.025,0.021,0.121,0.108,AABA,148,Gaia DR3 5972179719043340800,0.3987991299615139
0.459,J171128.52-391316.5,257.8688596,-39.2212725,9.742,9.297,8.339,5.13,0.027,0.025,0.246,0.065,AABA,152,Gaia DR3 5973057438557915776,0.48777424614358833
2.323,J171425.51-380952.4,258.6062959,-38.1645674,8.027,7.653,6.74,2.648,0.022,0.02,0.025,0.041,AAAA,153,Gaia DR3 5973487970376696320,2.321482129329704
2.139,J171425.51-380952.4,258.6062959,-38.1645674,8.027,7.653,6.74,2.648,0.022,0.02,0.025,0.041,AAAA,154,Gaia DR3 5973487970401339904,2.1307038937399225
1.176,J171424.61-380949.8,258.6025617,-38.1638507,8.802,8.382,6.062,2.009,0.029,0.026,0.017,0.029,AAAA,155,Gaia DR3 5973487970401341696,1.144673847962414
2.379,J173203.19-350430.7,263.0132979,-35.0752084,8.67,8.411,8.107,7.179,0.023,0.02,0.043,0.211,AAAB,156,Gaia DR3 5975043607541238016,2.3790705773195624
0.411,J155925.27-541243.2,239.8553075,-54.2120007,8.847,8.555,8.137,7.783,0.023,0.02,0.056,,AAAU,158,Gaia DR3 5980784844951253376,0.3955897592072678
0.258,J160026.43-521109.8,240.1101362,-52.1860585,8.477,7.969,7.364,6.291,0.028,0.023,0.03,0.11,AAAB,159,Gaia DR3 5981056802278006144,0.2815481070308799
0.337,J160050.46-514245.5,240.2102828,-51.7126639,4.239,3.06,-0.728,-2.514,0.191,0.13,0.418,0.004,BBCA,160,Gaia DR3 5981635832593607040,0.3108135794483691
1.453,J121431.71-625850.6,183.6321638,-62.9807299,5.445,5.302,5.698,3.81,0.071,0.031,0.022,0.035,AAAA,161,Gaia DR3 6054402160638288000,1.445656225242465
2.368,J121433.57-625849.5,183.6399126,-62.9804264,8.224,7.694,7.008,3.986,0.019,0.018,0.059,0.063,AAAA,162,Gaia DR3 6054402160643310208,2.3445144933498767
3.918,J121431.71-625850.6,183.6321638,-62.9807299,5.445,5.302,5.698,3.81,0.071,0.031,0.022,0.035,AAAA,163,Gaia DR3 6054402164972278528,3.9202697550591985
3.705,J121433.57-625849.5,183.6399126,-62.9804264,8.224,7.694,7.008,3.986,0.019,0.018,0.059,0.063,AAAA,164,Gaia DR3 6054402164972282240,3.728155584043245
0.272,J121216.84-624614.5,183.0701712,-62.7707162,9.04,8.597,8.709,6.294,0.024,0.021,0.184,,AABU,165,Gaia DR3 6054469643164086016,0.300449527437493
0.221,J125048.99-622439.7,192.7041515,-62.4110353,10.128,9.753,8.919,7.229,0.021,0.02,0.05,0.102,AAAA,166,Gaia DR3 6055240641333628800,0.248964542875141
