_r,2MASS,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qflg,query_idx,gaia_id,sep_arcsec
0.207,16470298-4550199,251.762426,-45.838875,9.482,8.445,7.864,0.032,0.018,,AAU,139,Gaia DR3 5940106797374726784,0.2026643108862953
3.849,16470303-4550235,251.76266,-45.839874,9.682,8.645,8.038,0.048,0.031,,AAU,139,Gaia DR3 5940106797374726784,3.8376391738897713
0.012,16464628-4547582,251.692846,-45.799526,10.04,8.214,6.725,0.023,0.018,0.026,AAA,140,Gaia DR3 5940107106612387968,0.03618383591575695
4.507,16470725-4549197,251.780226,-45.822144,13.938,11.398,10.707,0.089,,,AUU,141,Gaia DR3 5940199907954832768,4.493532374871253
0.152,16470761-4549222,251.781712,-45.822842,12.233,10.422,10.167,0.019,9.998,0.063,EFA,141,Gaia DR3 5940199907954832768,0.12363919760503599
4.941,16334864-4928489,248.452683,-49.480255,11.875,13.085,12.618,,0.165,0.073,UCA,142,Gaia DR3 5940491385980774528,4.921159377678177
0.107,16334874-4928439,248.453088,-49.478882,10.218,9.292,8.907,0.026,0.061,0.067,AAA,142,Gaia DR3 5940491385980774528,0.1360710201115043
0.059,16245886-4856524,246.245284,-48.947903,13.282,11.764,10.731,0.054,0.049,0.044,AAA,143,Gaia DR3 5941455760690440448,0.05018398311292095
0.066,16434036-4557576,250.918205,-45.966,10.565,9.708,9.141,0.024,0.025,0.02,AAA,144,Gaia DR3 5943094788943803904,0.0839879426669205
0.052,16590219-4543100,254.759148,-45.719467,9.457,7.767,6.309,0.023,0.036,0.023,AAA,145,Gaia DR3 5964033098110548736,0.06935246677084685
4.726,16545809-4109035,253.742044,-41.150997,6.616,6.804,6.154,0.351,0.583,0.435,DDD,146,Gaia DR3 5966563486675142912,4.698180224964861
0.009,16545850-4109031,253.743777,-41.150864,5.148,5.09,4.904,0.034,0.036,0.018,AAA,146,Gaia DR3 5966563486675142912,0.024629389656306965
0.073,16480137-4247382,252.00571,-42.793968,11.183,10.507,9.691,0.024,0.023,0.019,AAA,147,Gaia DR3 5967906059105052800,0.05104067404220259
3.844,17112189-3953188,257.841225,-39.88858,10.264,10.742,8.958,,0.042,,UAU,148,Gaia DR3 5972179719043340800,3.8730303156021804
0.085,17112170-3953219,257.840429,-39.889427,9.582,8.962,8.504,,0.036,,UAU,148,Gaia DR3 5972179719043340800,0.11383576153230011
0.249,17110082-3949312,257.753418,-39.82534,15.26,13.894,12.814,0.089,0.07,0.052,AEA,149,Gaia DR3 5972183468571843712,0.27783276961201414
0.215,17142712-3945472,258.613039,-39.763126,8.2,7.943,7.475,,,0.046,UUA,150,Gaia DR3 5972220130436920832,0.21390452285001318
0.028,17114613-3920277,257.942221,-39.341049,10.875,9.997,9.49,0.022,0.022,0.023,AAA,151,Gaia DR3 5972950373611106560,0.05144861208530887
0.102,17112850-3913168,257.86876,-39.221355,13.984,12.202,10.981,0.032,0.035,0.05,AAA,152,Gaia DR3 5973057438557915776,0.1129219386880743
4.394,17142565-3809537,258.606903,-38.164925,11.595,10.069,9.223,,0.033,0.034,UAA,153,Gaia DR3 5973487970376696320,4.397908706641286
